"geneid"	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"209"	4524	1678	447	2696	4295	3389	3999
"210"	1185	7318	1118	9142	9113	6945	8304
"211"	4878	62	31	79	49	50	108
"212"	4879	4	2	0	3	4	3
"213"	26829	0	0	0	2	0	3
"214"	90231	1946	376	2273	1974	1846	2046
"215"	5351	1942	1049	2357	2109	1584	1674
"216"	9927	12605	2515	14551	11727	9299	11927
"217"	60672	834	294	1066	2966	2450	2830
"218"	943	5	4	0	2	0	5
"219"	7133	365	271	418	446	289	361
"220"	55187	7301	1362	9450	13202	8031	8457
"221"	677885	15	0	12	19	10	10
"222"	9249	984	722	918	135	223	248
"223"	343066	0	0	0	0	0	0
"224"	126767	0	0	0	0	0	0
"225"	93190	0	2	0	2	0	6
"226"	390999	0	0	0	0	0	0
"227"	65121	0	0	0	0	0	0
"228"	440560	0	0	0	0	0	0
"229"	343069	36	5	19	61	47	52
"230"	65122	0	0	0	0	0	0
"231"	400735	0	1	0	0	0	0
"232"	343071	0	0	0	0	0	0
"233"	441871	0	0	0	0	0	0
"234"	440561	0	0	0	0	0	0
"235"	653606	0	0	0	0	0	0
"236"	729368	0	0	0	0	1	0
"237"	441873	0	0	0	0	0	1
"238"	440563	6	4	13	11	20	7
"239"	645359	0	1	0	0	0	0
"240"	401940	0	0	0	0	0	0
"241"	343068	0	0	0	0	0	0
"242"	391002	0	0	0	0	0	0
"243"	343070	0	0	0	0	0	0
"244"	400736	0	0	0	0	0	0
"245"	391003	0	0	0	0	0	3
"246"	654348	0	0	0	0	0	0
"247"	391001	0	0	0	0	0	0
"248"	729516	0	0	0	0	0	0
"249"	653619	0	0	0	0	0	0
"250"	729528	0	0	0	0	0	1
"251"	645414	0	0	0	0	0	3
"252"	391004	0	0	0	0	0	2
"253"	645425	1	0	0	0	0	0
"254"	126755	177	10	148	2	2	6
"255"	10630	376	123	235	232	2056	1888
"256"	7799	9105	1147	13644	21660	15409	16347
"257"	23254	5544	503	6854	7093	4606	4265
"258"	200197	76	39	65	85	59	77
"259"	55092	287	296	240	216	111	246
"260"	114827	84	14	123	10	21	56
"261"	79180	12037	1370	12848	513	930	970
"262"	11330	4	2	7	0	3	2
"263"	63036	11	2	30	3	1	5
"264"	51032	42	9	77	44	29	47
"265"	842	827	343	761	565	447	861
"266"	23341	2237	342	2336	3498	2082	3181
"267"	100507192	25	5	11	14	4	13
"268"	79814	190	12	178	82	34	77
"269"	645317	2106	804	2202	1916	1998	1643
"270"	84301	49	5	190	280	257	159
"271"	6248	144	27	163	439	290	263
"272"	23207	14171	10989	21337	6779	6505	6441
"273"	284723	303	123	250	434	586	483
"274"	388595	1	1	0	8	4	10
"275"	54751	131	163	171	3307	2703	3044
"276"	440567	4511	1261	3321	7675	4460	4731
"277"	729614	522	173	474	779	902	1111
"278"	23013	5174	1532	11206	37062	31258	28598
"279"	7709	1726	379	2014	3009	3950	4359
"280"	149563	157	408	324	119	107	64
"281"	27129	65	212	184	17	10	34
"282"	1187	6	0	6	5	3	65
"283"	1188	8	2	4	16	8	23
"284"	348487	519	180	543	331	163	250
"285"	1969	149	292	283	202	238	248
"286"	100506484	0	3	0	0	1	2
"287"	128272	38	34	42	85	147	319
"288"	79363	392	161	979	459	394	558
"289"	54455	1299	269	1758	3898	2927	3363
"290"	26099	2901	2116	1967	4331	4804	6093
"291"	374955	1	2	3	28	37	17
"292"	55707	1067	721	596	2106	1969	2578
"293"	114819	1076	331	1508	4904	4350	4416
"294"	26871	1	0	4	12	19	9
"295"	100506533	80	7	18	856	108	449
"296"	100133301	1	0	2	72	24	46
"297"	55672	1214	617	1989	17309	11334	9030
"298"	84809	2472	719	4541	7142	4912	4752
"299"	11209	380	74	338	377	376	421
"300"	26869	2	0	3	7	8	7
"301"	729574	0	0	4	47	4	14
"302"	284729	18	7	27	3	8	8
"303"	729587	0	0	7	41	5	13
"304"	6060	3	0	7	10	18	11
"305"	11223	185	56	275	258	302	380
"306"	100506687	36	35	12	63	57	81
"307"	26870	2	2	7	7	12	16
"308"	9696	1766	608	2704	4095	6853	6354
"309"	4237	2	6	6	327	816	852
"310"	23400	11602	1332	17737	11000	8515	8205
"311"	6390	2410	573	1538	1878	1437	1428
"312"	11240	13458	4221	4871	187	167	148
"313"	400743	0	0	0	0	0	0
"314"	29943	2	0	0	0	0	0
"315"	51702	0	0	0	0	0	0
"316"	23569	31	16	152	1	2	0
"317"	353238	0	0	0	0	0	0
"318"	55920	2765	737	2805	5392	7934	9227
"319"	55160	2124	932	2889	4857	4289	6072
"320"	81569	8	0	3	23	12	8
"321"	84966	4375	525	5898	7427	7649	4446
"322"	127707	2	2	6	0	4	7
"323"	5081	341	14	413	9	6	2
"324"	80834	0	0	0	0	0	1
"325"	8659	4231	3951	3408	702	704	1064
