Geneid	alignments
374973	0
9813	3865
100129898	155
1580	1
163720	10
1579	49
260293	1772
199974	36
284541	4
10158	2
6886	179
6491	880
51727	12375
2301	6
84793	43
2306	65
388630	78
100507479	4
391037	2
200010	9
54558	368
84871	284
79656	1007
1996	9923
63950	87
11124	2483
1031	152
284546	0
26994	20149
22996	50
2060	14338
114883	2891
4898	9284
100313892	0
5865	6745
51060	2123
112970	709
91408	10647
9372	8570
200014	3068
4998	115
84950	5419
23318	10252
2882	807
348378	9
65260	5546
79699	27034
440590	6
55268	120
6342	4255
127435	127
6512	7
1376	643
54987	1477
4116	532
100507564	1896
7804	11111
163742	0
63948	0
148979	12
55706	3290
54432	919
1733	13
51668	747
115353	1323
388633	0
9528	7133
127428	1140
200008	8
606495	888
51253	3070
23648	6346
619518	108
26027	20
338094	7
374977	108
7268	1763
25973	319
55001	15
163747	7
1718	24084
199964	2
7809	0
255738	202
23358	15459
100507634	84
100507652	0
8613	1255
5563	7542
199920	14
731	2
732	2
1600	10129
115209	352
4070	4
114803	1550
3725	9591
100131060	13
729467	2
55277	63
51361	1659
1573	21
127795	0
4774	23916
83941	907
10207	1648
100422902	0
100422946	0
54596	34
163782	183
7398	6843
85440	8637
27329	36
100507664	23
84938	840
27022	2
29929	1065
23421	205
84455	2702
79469	500
5236	1349
4919	169
148581	0
57685	2975
55225	1928
3716	6562
406893	1
205	2782
9829	34967
100505510	90
3953	940
54741	4193
5142	5143
84251	7876
100422871	14
200132	20
10022	1
79819	227
57708	4941
23169	3579
400757	3
149233	4
3595	389
26135	31013
1647	928
55970	1898
100289178	75
9077	598
79971	4405
100302279	2
6121	10
55635	103
57554	15627
5301	1399
55631	6354
9295	20282
81573	7667
11147	109
1491	501
5733	880
100132618	339
9406	14716
406962	94
257194	13816
127255	37
8790	1956
51086	538
127254	9762
1429	297
127253	872
431707	2
204962	15084
34	3565
5876	2136
692085	12
26805	18
26804	36
4438	140
127247	2
100505563	0
256435	2336
81849	3704
256483	189
10026	2728
26289	2347
26009	5648
23032	16870
374986	2497
653631	2068
374987	31
91624	119
8880	13833
11080	2996
54810	41
149047	0
5737	611
10964	389
10561	1371
64123	537
23266	10589
79739	11253
5567	58025
148418	43
391051	8
58511	0
80135	1344
2787	356
100505741	8
1486	189
439927	4
117178	11637
23566	4
255231	5
55283	0
126820	4
84144	301
148423	5359
8915	1819
646626	13
23576	7817
3491	548
54680	2395
255631	69
57489	5617
9635	0
1179	0
22802	1
9629	4
51100	32827
9403	5483
9653	6443
339524	378
8543	60719
100505768	38
5586	4925
2959	1905
56267	1105
494115	13454
2635	75
2633	21
2634	17
388646	20
115361	251
115362	13
163351	13
400759	0
23507	12573
400761	82
84230	2837
55144	5965
492303	192
284695	7546
343472	12
100505821	5
100505809	9
100505840	0
84146	13259
100505857	459
164045	894
8317	3987
343477	3945
7049	701
676	21
253152	254
284697	364
23285	7797
388649	39
11146	807
79871	2042
2672	8
7813	2050
6125	26304
6083	30
26782	55
388650	2937
22823	6706
